GEOID,B23022_001E,B23022_002E,B23022_003E,B23022_004E,B23022_005E,B23022_006E,B23022_007E,B23022_008E,B23022_009E,B23022_010E,B23022_011E,B23022_012E,B23022_013E,B23022_014E,B23022_015E,B23022_016E,B23022_017E,B23022_018E,B23022_019E,B23022_020E,B23022_021E,B23022_022E,B23022_023E,B23022_024E,B23022_025E,B23022_026E,B23022_027E,B23022_028E,B23022_029E,B23022_030E,B23022_031E,B23022_032E,B23022_033E,B23022_034E,B23022_035E,B23022_036E,B23022_037E,B23022_038E,B23022_039E,B23022_040E,B23022_041E,B23022_042E,B23022_043E,B23022_044E,B23022_045E,B23022_046E,B23022_047E,B23022_048E,B23022_049E
37051003302,3475.0,1447.0,1151.0,954.0,830.0,0.0,49.0,11.0,6.0,58.0,179.0,73.0,0.0,38.0,0.0,30.0,38.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,296.0,2028.0,1475.0,1088.0,1004.0,16.0,22.0,0.0,38.0,8.0,375.0,137.0,13.0,0.0,36.0,79.0,110.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,553.0
37051003304,4692.0,2403.0,1724.0,1536.0,1375.0,20.0,59.0,21.0,0.0,61.0,178.0,90.0,0.0,18.0,36.0,0.0,34.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,679.0,2289.0,1590.0,1186.0,1074.0,17.0,25.0,47.0,9.0,14.0,337.0,263.0,0.0,28.0,0.0,46.0,0.0,67.0,50.0,17.0,0.0,0.0,0.0,0.0,699.0
37051003307,2452.0,1148.0,861.0,756.0,637.0,0.0,17.0,52.0,23.0,27.0,78.0,33.0,0.0,0.0,18.0,5.0,22.0,27.0,26.0,0.0,0.0,0.0,0.0,1.0,287.0,1304.0,987.0,764.0,664.0,16.0,16.0,8.0,15.0,45.0,194.0,77.0,0.0,0.0,35.0,65.0,17.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,317.0
37051003310,3364.0,1511.0,1244.0,1093.0,958.0,0.0,25.0,70.0,21.0,19.0,126.0,112.0,0.0,0.0,1.0,13.0,0.0,25.0,12.0,0.0,0.0,13.0,0.0,0.0,267.0,1853.0,1245.0,908.0,664.0,25.0,99.0,62.0,45.0,13.0,320.0,193.0,0.0,14.0,16.0,59.0,38.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,608.0
37051003311,2107.0,1124.0,1006.0,959.0,930.0,0.0,12.0,8.0,0.0,9.0,47.0,23.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,983.0,678.0,488.0,461.0,0.0,9.0,0.0,11.0,7.0,162.0,65.0,11.0,14.0,24.0,19.0,29.0,28.0,14.0,0.0,0.0,14.0,0.0,0.0,305.0
37051003312,5017.0,2416.0,1977.0,1395.0,1178.0,0.0,129.0,41.0,27.0,20.0,527.0,434.0,27.0,0.0,12.0,14.0,40.0,55.0,0.0,0.0,0.0,29.0,26.0,0.0,439.0,2601.0,1700.0,1421.0,1180.0,0.0,51.0,44.0,65.0,81.0,265.0,111.0,0.0,14.0,72.0,30.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,901.0
37051003313,5235.0,2738.0,1935.0,1697.0,1477.0,26.0,28.0,28.0,87.0,51.0,213.0,89.0,10.0,25.0,12.0,32.0,45.0,25.0,24.0,0.0,0.0,0.0,0.0,1.0,803.0,2497.0,1612.0,1313.0,1129.0,13.0,37.0,51.0,20.0,63.0,268.0,110.0,0.0,17.0,26.0,29.0,86.0,31.0,20.0,0.0,0.0,11.0,0.0,0.0,885.0
37051003314,4990.0,2595.0,2188.0,1717.0,1498.0,17.0,56.0,82.0,24.0,40.0,363.0,185.0,0.0,22.0,76.0,18.0,62.0,108.0,67.0,0.0,0.0,1.0,0.0,40.0,407.0,2395.0,1858.0,1392.0,1269.0,18.0,0.0,21.0,42.0,42.0,423.0,238.0,0.0,16.0,64.0,19.0,86.0,43.0,0.0,0.0,0.0,0.0,23.0,20.0,537.0
37051003315,3058.0,1612.0,1206.0,1043.0,1031.0,0.0,0.0,0.0,12.0,0.0,149.0,136.0,0.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,1.0,406.0,1446.0,1011.0,788.0,714.0,37.0,0.0,0.0,23.0,14.0,187.0,109.0,0.0,42.0,0.0,36.0,0.0,36.0,10.0,0.0,0.0,0.0,0.0,26.0,435.0
37051003316,1287.0,659.0,508.0,387.0,367.0,0.0,0.0,18.0,2.0,0.0,101.0,70.0,0.0,0.0,2.0,16.0,13.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,151.0,628.0,426.0,311.0,263.0,0.0,35.0,13.0,0.0,0.0,104.0,83.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,202.0
