,,STUSAB,Geo Point,Geo Shape,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,COUNTYFP NOZERO
,57,NC,"35.8580358086, -82.7057582627","{""coordinates"":[[[-82.916462,35.84156],[-82.916343,35.841663],[-82.916322,35.841793],[-82.916427,35.84195],[-82.916573,35.842096],[-82.916704,35.842364],[-82.916868,35.84261],[-82.917007,35.842839],[-",37,115,1025834,37115,Madison,Madison County,6,H1,G4020,120,11700,,A,"1,164,497,715","4,840,763",35.8642073,-82.7126299,115
,58,NC,"35.843213981, -77.109232267","{""coordinates"":[[[-77.349342,35.867593],[-77.34907,35.867852],[-77.348919,35.868028],[-77.348184,35.868907],[-77.348081,35.869123],[-77.348043,35.869208],[-77.347992,35.869672],[-77.347718,35.870529],",37,117,1026328,37117,Martin,Martin County,6,H1,G4020,,,,A,"1,182,135,160","746,610",35.8473006,-77.1196022,117
,59,NC,"35.6816924709, -82.0493124426","{""coordinates"":[[[-82.16776,35.787486],[-82.167795,35.787583],[-82.167815,35.788099],[-82.167849,35.788303],[-82.167864,35.788581],[-82.16788,35.78886],[-82.167895,35.789138],[-82.167861,35.789253],[-",37,111,1025836,37111,McDowell,McDowell County,6,H1,G4020,120,32000,,A,"1,139,477,323","13,977,081",35.6822711,-82.0480438,111
,60,NC,"35.2467670437, -80.8327311406","{""coordinates"":[[[-80.752906,35.415604],[-80.752409,35.41456],[-80.752365,35.414471],[-80.752167,35.41405],[-80.753355,35.413845],[-80.754904,35.413577],[-80.755155,35.413534],[-80.755228,35.413522],[",37,119,1008570,37119,Mecklenburg,Mecklenburg County,6,H1,G4020,172,16740,,A,"1,356,068,834","58,270,787",35.2468623,-80.8338317,119
,61,NC,"36.0132038869, -82.1635815487","{""coordinates"":[[[-82.245215,36.131221],[-82.245176,36.131231],[-82.245097,36.131249],[-82.245015,36.131298],[-82.244846,36.131474],[-82.244595,36.13176],[-82.244385,36.131983],[-82.244298,36.132079],",37,121,1008571,37121,Mitchell,Mitchell County,6,H1,G4020,,,,A,"573,036,225","1,632,150",36.013102,-82.1635541,121
,62,NC,"35.332466935, -79.9054790812","{""coordinates"":[[[-80.05978,35.381137],[-80.059787,35.381151],[-80.060824,35.383228],[-80.060873,35.383327],[-80.060918,35.383417],[-80.060939,35.383458],[-80.060947,35.383474],[-80.061457,35.384499],",37,123,1008572,37123,Montgomery,Montgomery County,6,H1,G4020,,,,A,"1,273,075,615","25,886,763",35.3344151,-79.9066023,123
,63,NC,"35.3106538555, -79.4813744392","{""coordinates"":[[[-79.57519,35.514732],[-79.566957,35.514863],[-79.563999,35.51491],[-79.563108,35.514924],[-79.555804,35.515039],[-79.55573,35.51504],[-79.551566,35.515103],[-79.551262,35.515106],[-7",37,125,1008573,37125,Moore,Moore County,6,H1,G4020,246,38240,,A,"1,806,973,893","20,724,316",35.3082717,-79.4927248,125
,64,NC,"35.9672502839, -77.9864448378","{""coordinates"":[[[-78.122005,36.030478],[-78.121412,36.03136],[-78.117428,36.03731],[-78.117289,36.037517],[-78.113059,36.043832],[-78.108472,36.050674],[-78.106572,36.05351],[-78.104965,36.055908],[-",37,127,1008574,37127,Nash,Nash County,6,H1,G4020,468,40580,,A,"1,399,742,823","6,174,819",35.9659447,-77.9875546,127
,65,NC,"34.1815553357, -77.865597569","{""coordinates"":[[[-77.956608,34.192488],[-77.956915,34.195396],[-77.957004,34.196226],[-77.957279,34.197291],[-77.959534,34.201392],[-77.959631,34.201567],[-77.959676,34.201649],[-77.960282,34.202413]",37,129,1026329,37129,New Hanover,New Hanover County,6,H1,G4020,,48900,,A,"497,927,594","353,813,801",34.183442,-77.8642088,129
,66,NC,"36.4177312434, -77.3968212099","{""coordinates"":[[[-77.587097,36.545149],[-77.586813,36.54515],[-77.586464,36.545152],[-77.586114,36.545153],[-77.585765,36.545154],[-77.585415,36.545155],[-77.585066,36.545157],[-77.584716,36.545158],",37,131,1008575,37131,Northampton,Northampton County,6,H1,G4020,468,40260,,A,"1,389,988,119","35,935,817",36.4217739,-77.3983518,131
